================EMPLOYEE:1===================
GROSS:   $367
NET:     $283.64
TAX:     $83.36
================EMPLOYEE:2===================
GROSS:   $162
NET:     $110.16
TAX:     $51.84
VISA:    417
YTD:     $47682
================EMPLOYEE:3===================
GROSS:   $813
NET:     $574.57
TAX:     $238.43
================EMPLOYEE:4===================
GROSS:   $345
NET:     $293.25
TAX:     $51.75
VISA:    462
YTD:     $23345
================EMPLOYEE:5===================
GROSS:   $760.6
NET:     $540.39
TAX:     $220.21
